Timestamp	BM2:TEL? 8,DATA: Time (s)	BM2:TEL? 8,DATA: Data	BM2:TEL? 9,DATA: Time (s)	BM2:TEL? 9,DATA: Data	BM2:TEL? 10,DATA: Time (s)	BM2:TEL? 10,DATA: Data	BM2:TEL? 11,DATA: Time (s)	BM2:TEL? 11,DATA: Data	BM2:TEL? 13,DATA: Time (s)	BM2:TEL? 13,DATA: Data	BM2:TEL? 14,DATA: Time (s)	BM2:TEL? 14,DATA: Data	BM2:TEL? 15,DATA: Time (s)	BM2:TEL? 15,DATA: Data	BM2:TEL? 16,DATA: Time (s)	BM2:TEL? 16,DATA: Data	BM2:TEL? 17,DATA: Time (s)	BM2:TEL? 17,DATA: Data	BM2:TEL? 18,DATA: Time (s)	BM2:TEL? 18,DATA: Data	BM2:TEL? 19,DATA: Time (s)	BM2:TEL? 19,DATA: Data	BM2:TEL? 20,DATA: Time (s)	BM2:TEL? 20,DATA: Data	BM2:TEL? 21,DATA: Time (s)	BM2:TEL? 21,DATA: Data	BM2:TEL? 22,DATA: Time (s)	BM2:TEL? 22,DATA: Data	BM2:TEL? 23,DATA: Time (s)	BM2:TEL? 23,DATA: Data	BM2:TEL? 24,DATA: Time (s)	BM2:TEL? 24,DATA: Data	BM2:TEL? 25,DATA: Time (s)	BM2:TEL? 25,DATA: Data	BM2:TEL? 48,DATA: Time (s)	BM2:TEL? 48,DATA: Data	BM2:TEL? 49,DATA: Time (s)	BM2:TEL? 49,DATA: Data	BM2:TEL? 50,DATA: Time (s)	BM2:TEL? 50,DATA: Data	BM2:TEL? 51,DATA: Time (s)	BM2:TEL? 51,DATA: Data	BM2:TEL? 52,DATA: Time (s)	BM2:TEL? 52,DATA: Data	BM2:TEL? 53,DATA: Time (s)	BM2:TEL? 53,DATA: Data	BM2:TEL? 54,DATA: Time (s)	BM2:TEL? 54,DATA: Data	BM2:TEL? 55,DATA: Time (s)	BM2:TEL? 55,DATA: Data	BM2:TEL? 56,DATA: Time (s)	BM2:TEL? 56,DATA: Data	BM2:TEL? 57,DATA: Time (s)	BM2:TEL? 57,DATA: Data	BM2:TEL? 58,DATA: Time (s)	BM2:TEL? 58,DATA: Data	BM2:TEL? 60,DATA: Time (s)	BM2:TEL? 60,DATA: Data	BM2:TEL? 61,DATA: Time (s)	BM2:TEL? 61,DATA: Data	BM2:TEL? 62,DATA: Time (s)	BM2:TEL? 62,DATA: Data	BM2:TEL? 63,DATA: Time (s)	BM2:TEL? 63,DATA: Data	BM2:TEL? 80,DATA: Time (s)	BM2:TEL? 80,DATA: Data	BM2:TEL? 81,DATA: Time (s)	BM2:TEL? 81,DATA: Data	BM2:TEL? 82,DATA: Time (s)	BM2:TEL? 82,DATA: Data	BM2:TEL? 83,DATA: Time (s)	BM2:TEL? 83,DATA: Data	BM2:TEL? 84,DATA: Time (s)	BM2:TEL? 84,DATA: Data	BM2:TEL? 85,DATA: Time (s)	BM2:TEL? 85,DATA: Data	BM2:TEL? 90,DATA: Time (s)	BM2:TEL? 90,DATA: Data	BM2:TEL? 93,DATA: Time (s)	BM2:TEL? 93,DATA: Data	BM2:TEL? 94,DATA: Time (s)	BM2:TEL? 94,DATA: Data	BM2:TEL? 95,DATA: Time (s)	BM2:TEL? 95,DATA: Data	BM2:TEL? 104,DATA: Time (s)	BM2:TEL? 104,DATA: Data	BM2:TEL? 105,DATA: Time (s)	BM2:TEL? 105,DATA: Data	BM2:TEL? 106,DATA: Time (s)	BM2:TEL? 106,DATA: Data	BM2:TEL? 107,DATA: Time (s)	BM2:TEL? 107,DATA: Data	BM2:TEL? 114,DATA: Time (s)	BM2:TEL? 114,DATA: Data
00:01:38:41.49	5921.49	2977	5921.7	7009	5921.92	-47	5922.14	-47	5922.35	24848	5922.56	13	5922.77	0	5922.99	52	5923.2	211	5923.42	2327	5923.64	65535	5923.86	6800	5924.08	8400	5924.28	C0 00	5924.5	0	5924.7	10178	5924.92	8400	5925.14	2972	5925.34	2983	5925.56	4282	5925.78	4282	5926.0	02	5926.22		5926.44	00 00 00 00	5926.66	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	5926.88	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	5927.1	00 00	5927.32	00 00 00 00 00 00 00 00	5927.54	4000	5927.74	4000	5927.96	4000	5928.18	4000	5928.39	00 00	5928.61	00 00	5928.82	00 00	5929.03	00 00	5929.25	45 80	5929.47	00 04	5929.68	2047	5929.89	7008	5930.11	2972	5930.31	2983	5930.54	00 00	5930.75	00 00	5930.97	00 00	5931.19	00 00	5931.4	04 00
00:01:38:51.62	5931.62	2977	5931.84	7008	5932.06	-48	5932.26	-48	5932.48	24592	5932.7	13	5932.92	0	5933.14	52	5933.36	211	5933.58	2259	5933.78	65535	5934.0	6800	5934.22	8400	5934.44	C0 00	5934.68	0	5934.89	10178	5935.11	8400	5935.32	2972	5935.54	2983	5935.76	4282	5935.98	4282	5936.2	02	5936.41		5936.62	00 00 00 00	5936.84	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	5937.06	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	5937.28	00 00	5937.49	00 00 00 00 00 00 00 00	5937.71	4000	5937.93	4000	5938.14	4000	5938.35	4000	5938.57	00 00	5938.78	00 00	5938.99	00 00	5939.21	00 00	5939.42	45 80	5939.63	00 04	5939.84	2047	5940.06	7008	5940.27	2972	5940.49	2983	5940.7	00 00	5940.91	00 00	5941.13	00 00	5941.34	00 00	5941.56	04 00
00:01:39:01.78	5941.78	2977	5941.99	7008	5942.21	-47	5942.42	-48	5942.62	24592	5942.84	13	5943.05	0	5943.27	52	5943.48	211	5943.69	2259	5943.9	65535	5944.11	6800	5944.32	8400	5944.53	C0 00	5944.75	0	5944.96	10178	5945.18	8400	5945.39	2972	5945.61	2983	5945.82	4282	5946.04	4282	5946.26	02	5946.48		5946.69	00 00 00 00	5946.92	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	5947.14	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	5947.35	00 00	5947.57	00 00 00 00 00 00 00 00	5947.78	4000	5948.0	4000	5948.2	4000	5948.42	4000	5948.64	00 00	5948.85	00 00	5949.06	00 00	5949.28	00 00	5949.5	45 80	5949.71	00 04	5949.92	2047	5950.13	7008	5950.34	2972	5950.56	2983	5950.77	00 00	5950.98	00 00	5951.19	00 00	5951.4	00 00	5951.62	04 00
00:01:39:11.84	5951.84	2977	5952.05	7008	5952.27	-47	5952.48	-48	5952.7	24592	5952.92	13	5953.14	0	5953.35	52	5953.57	211	5953.78	2259	5953.99	65535	5954.21	6800	5954.41	8400	5954.62	C0 00	5954.84	0	5955.06	10178	5955.27	8400	5955.48	2972	5955.69	2983	5955.91	4282	5956.13	4282	5956.35	02	5956.56		5956.78	00 00 00 00	5957.0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	5957.23	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	5957.45	00 00	5957.67	00 00 00 00 00 00 00 00	5957.89	4000	5958.1	4000	5958.32	4000	5958.53	4000	5958.74	00 00	5958.95	00 00	5959.17	00 00	5959.38	00 00	5959.6	45 80	5959.81	00 04	5960.02	2047	5960.24	7008	5960.46	2972	5960.68	2983	5960.89	00 00	5961.11	00 00	5961.33	00 00	5961.55	00 00	5961.76	04 00
00:01:39:21.97	5961.97	2977	5962.18	7008	5962.4	-48	5962.61	-48	5962.82	24592	5963.05	13	5963.27	0	5963.48	52	5963.69	211	5963.9	2259	5964.11	65535	5964.34	6800	5964.55	8400	5964.76	C0 00	5964.98	0	5965.19	10178	5965.4	8400	5965.62	2972	5965.83	2983	5966.06	4282	5966.27	4282	5966.49	02	5966.7		5966.91	00 00 00 00	5967.12	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	5967.34	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	5967.55	00 00	5967.76	00 00 00 00 00 00 00 00	5967.98	4000	5968.2	4000	5968.42	4000	5968.63	4000	5968.85	00 00	5969.07	00 00	5969.29	00 00	5969.51	00 00	5969.72	45 80	5969.94	00 04	5970.15	2047	5970.36	7008	5970.58	2972	5970.8	2983	5971.02	00 00	5971.22	00 00	5971.44	00 00	5971.66	00 00	5971.87	04 00
00:01:39:32.09	5972.09	2977	5972.31	7008	5972.53	-48	5972.74	-48	5972.96	24592	5973.17	13	5973.39	0	5973.61	52	5973.82	209	5974.03	2257	5974.24	65535	5974.45	6800	5974.67	8400	5974.89	C0 00	5975.1	0	5975.32	10178	5975.54	8400	5975.75	2972	5975.97	2983	5976.19	4282	5976.4	4282	5976.62	02	5976.83		5977.05	00 00 00 00	5977.26	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	5977.48	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	5977.69	00 00	5977.91	00 00 00 00 00 00 00 00	5978.13	4000	5978.34	4000	5978.56	4000	5978.78	4000	5978.99	00 00	5979.21	00 00	5979.43	00 00	5979.65	00 00	5979.87	45 80	5980.08	00 04	5980.29	2047	5980.51	7008	5980.72	2972	5980.94	2983	5981.16	00 00	5981.37	00 00	5981.59	00 00	5981.81	00 00	5982.02	04 00
00:01:39:42.23	5982.23	2977	5982.45	7008	5982.66	-48	5982.86	-48	5983.08	24592	5983.29	13	5983.51	255	5983.73	52	5983.95	21	5984.16	2257	5984.38	65535	5984.59	6800	5984.81	8400	5985.03	C0 00	5985.24	0	5985.45	10178	5985.67	8400	5985.88	2972	5986.1	2983	5986.32	4282	5986.53	4282	5986.74	02	5986.96		5987.18	00 00 00 00	5987.39	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	5987.61	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	5987.83	00 00	5988.04	00 00 00 00 00 00 00 00	5988.25	4000	5988.48	4000	5988.69	4000	5988.92	4000	5989.14	00 00	5989.34	00 00	5989.56	00 00	5989.77	00 00	5989.98	45 80	5990.19	00 04	5990.41	2047	5990.63	7008	5990.83	2972	5991.05	2983	5991.27	00 00	5991.47	00 00	5991.69	00 00	5991.91	00 00	5992.13	04 00
00:01:39:52.34	5992.34	2977	5992.56	7008	5992.78	-48	5993.0	-48	5993.21	24592	5993.43	13	5993.65	255	5993.86	52	5994.08	21	5994.29	2257	5994.51	65535	5994.72	6800	5994.94	8400	5995.15	C0 00	5995.37	0	5995.59	10178	5995.8	8400	5996.02	2972	5996.24	2983	5996.46	4282	5996.68	4282	5996.88	02	5997.11		5997.31	00 00 00 00	5997.53	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	5997.75	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	5997.98	00 00	5998.19	00 00 00 00 00 00 00 00	5998.41	4000	5998.62	4000	5998.85	4000	5999.07	4000	5999.27	00 00	5999.48	00 00	5999.69	00 00	5999.9	00 00	6000.11	45 80	6000.32	00 04	6000.53	2048	6000.75	7008	6000.97	2972	6001.18	2983	6001.4	00 00	6001.62	00 00	6001.82	00 00	6002.04	00 00	6002.26	04 00
00:01:40:02.48	6002.48	2977	6002.69	7008	6002.9	-48	6003.13	-48	6003.34	24592	6003.55	13	6003.76	255	6003.98	52	6004.21	209	6004.42	2257	6004.64	65535	6004.86	6800	6005.07	8400	6005.28	C0 00	6005.5	0	6005.71	10178	6005.92	8400	6006.14	2972	6006.35	2983	6006.57	4282	6006.79	4282	6007.01	02	6007.23		6007.44	00 00 00 00	6007.66	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	6007.87	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	6008.1	00 00	6008.32	00 00 00 00 00 00 00 00	6008.53	4000	6008.75	4000	6008.96	4000	6009.17	4000	6009.38	00 00	6009.6	00 00	6009.81	00 00	6010.03	00 00	6010.24	45 80	6010.46	00 04	6010.68	2047	6010.89	7008	6011.11	2972	6011.33	2983	6011.53	00 00	6011.75	00 00	6011.97	00 00	6012.19	00 00	6012.41	04 00
00:01:40:12.63	6012.63	2977	6012.85	7008	6013.06	-48	6013.28	-48	6013.49	24592	6013.7	13	6013.92	255	6014.14	52	6014.36	21	6014.58	2257	6014.79	65535	6014.99	6800	6015.21	8400	6015.42	C0 00	6015.63	0	6015.85	10178	6016.07	8400	6016.28	2972	6016.49	2983	6016.71	4282	6016.91	4282	6017.13	02	6017.34		6017.55	00 00 00 00	6017.77	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	6017.99	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	6018.2	00 00	6018.41	00 00 00 00 00 00 00 00	6018.63	4000	6018.85	4000	6019.06	4000	6019.27	4000	6019.49	00 00	6019.71	00 00	6019.91	00 00	6020.13	00 00	6020.35	45 80	6020.56	00 04	6020.77	2047	6020.99	7008	6021.21	2972	6021.42	2983	6021.64	00 00	6021.86	00 00	6022.08	00 00	6022.28	00 00	6022.49	04 00
